"Date","Price","Open","High","Low","Vol.","Change %"
"03/28/2025","24.64","24.70","24.80","24.43","140.47K","-0.61%"
"03/27/2025","24.79","24.96","25.05","24.66","197.88K","-1.78%"
"03/26/2025","25.24","25.37","25.62","25.18","133.59K","0.24%"
"03/25/2025","25.18","25.20","25.38","25.07","326.65K","0.16%"
"03/24/2025","25.14","24.83","25.23","24.83","183.09K","1.66%"
"03/21/2025","24.73","24.79","24.89","24.63","157.11K","-0.96%"
"03/20/2025","24.97","24.86","25.08","24.74","275.92K","-0.12%"
"03/19/2025","25.00","24.47","25.12","24.41","216.93K","2.21%"
"03/18/2025","24.46","24.49","24.67","24.22","409.94K","0.78%"
"03/17/2025","24.27","23.88","24.36","23.88","229.57K","1.72%"
"03/14/2025","23.86","23.27","23.89","23.12","303.04K","3.16%"
"03/13/2025","23.13","23.37","23.66","22.96","446.65K","-1.53%"
"03/12/2025","23.49","23.32","23.69","23.14","366.37K","1.08%"
"03/11/2025","23.24","22.98","23.49","22.97","493.58K","1.57%"
"03/10/2025","22.88","22.76","23.21","22.64","603.61K","0.84%"
"03/07/2025","22.69","22.48","22.88","22.36","674.36K","1.43%"
"03/06/2025","22.37","22.67","22.77","22.22","713.72K","-1.84%"
"03/05/2025","22.79","22.84","22.87","22.20","1.31M","-1.17%"
"03/04/2025","23.06","22.89","23.44","22.38","845.44K","-0.30%"
"03/03/2025","23.13","24.49","24.56","22.91","471.76K","-4.89%"
"02/28/2025","24.32","23.99","24.32","23.73","227.96K","0.87%"
"02/27/2025","24.11","24.48","24.48","24.08","270.40K","-0.78%"
"02/26/2025","24.30","24.51","24.61","24.16","387.03K","-0.25%"
"02/25/2025","24.36","24.91","24.93","24.31","328.47K","-2.40%"
"02/24/2025","24.96","25.16","25.16","24.80","271.13K","-0.40%"
"02/21/2025","25.06","25.83","25.83","24.96","296.75K","-3.36%"
"02/20/2025","25.93","25.91","26.01","25.61","259.39K","-0.12%"
"02/19/2025","25.96","25.70","26.24","25.70","626.02K","1.64%"
"02/18/2025","25.54","25.41","25.79","25.08","518.81K","0.99%"
"02/14/2025","25.29","25.27","25.61","25.22","241.95K","0.68%"
"02/13/2025","25.12","24.94","25.14","24.80","284.24K","0.64%"
"02/12/2025","24.96","25.62","25.66","24.87","375.29K","-2.99%"
"02/11/2025","25.73","25.71","26.00","25.61","274.00K","0.43%"
"02/10/2025","25.62","24.94","25.65","24.94","271.99K","3.77%"
"02/07/2025","24.69","24.86","24.97","24.67","287.42K","-0.32%"
"02/06/2025","24.77","25.34","25.43","24.58","301.19K","-2.02%"
"02/05/2025","25.28","25.25","25.31","25.05","212.26K","0.16%"
