"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2024","369.00","369.00","369.00","369.00","","0.00%"
"12/30/2024","369.00","369.00","369.00","369.00","","0.00%"
"12/27/2024","369.00","369.00","369.00","369.00","","0.82%"
"12/26/2024","366.00","366.00","366.00","366.00","","0.00%"
"12/24/2024","366.00","366.00","366.00","366.00","","0.00%"
"12/23/2024","366.00","366.00","366.00","366.00","","0.97%"
"12/20/2024","362.50","362.50","362.50","362.50","","3.92%"
"12/19/2024","348.83","348.83","348.83","348.83","","0.38%"
"12/18/2024","347.50","347.50","347.50","347.50","","0.00%"
"12/17/2024","347.50","347.50","347.50","347.50","","0.00%"
"12/16/2024","347.50","347.50","347.50","347.50","","0.00%"
"12/13/2024","347.50","347.50","347.50","347.50","","-0.29%"
"12/12/2024","348.50","348.50","348.50","348.50","","0.00%"
"12/11/2024","348.50","348.50","348.50","348.50","","0.29%"
"12/10/2024","347.50","347.50","347.50","347.50","","0.00%"
"12/09/2024","347.50","347.50","347.50","347.50","","0.72%"
"12/06/2024","345.00","345.00","345.00","345.00","","0.00%"
"12/05/2024","345.00","345.00","345.00","345.00","","0.44%"
"12/04/2024","343.50","343.50","343.50","343.50","0.05K","0.29%"
"12/03/2024","342.50","342.50","342.50","342.50","","0.00%"
"12/02/2024","342.50","342.50","342.50","342.50","","-0.29%"
"11/29/2024","343.50","343.50","343.50","343.50","","-2.00%"
"11/27/2024","350.50","350.50","350.50","350.50","","-0.71%"
"11/26/2024","353.00","353.00","353.00","353.00","","0.00%"
"11/25/2024","353.00","353.00","353.00","353.00","","0.00%"
"11/22/2024","353.00","353.00","353.00","353.00","","0.00%"
"11/21/2024","353.00","353.00","353.00","353.00","","0.00%"
"11/20/2024","353.00","353.00","353.00","353.00","","0.00%"
"11/19/2024","353.00","353.00","353.00","353.00","","0.00%"
"11/18/2024","353.00","353.00","353.00","353.00","","0.00%"
"11/15/2024","353.00","353.00","353.00","353.00","","0.14%"
"11/14/2024","352.50","352.50","352.50","352.50","","0.00%"
"11/13/2024","352.50","352.50","352.50","352.50","","0.00%"
"11/12/2024","352.50","352.50","352.50","352.50","","-0.70%"
"11/11/2024","355.00","355.00","355.00","355.00","","0.00%"
"11/08/2024","355.00","355.00","355.00","355.00","","0.00%"
"11/07/2024","355.00","355.00","355.00","355.00","","0.00%"
"11/06/2024","355.00","355.00","355.00","355.00","","-0.70%"
"11/05/2024","357.50","357.50","357.50","357.50","","-0.69%"
"11/04/2024","360.00","360.00","360.00","360.00","0.05K","-2.04%"
"11/01/2024","367.50","367.50","367.50","367.50","","-0.35%"
"10/31/2024","368.80","368.80","368.80","368.80","","0.35%"
"10/30/2024","367.50","367.50","367.50","367.50","","0.00%"
"10/29/2024","367.50","367.50","367.50","367.50","","0.00%"
"10/28/2024","367.50","367.50","367.50","367.50","","0.00%"
"10/25/2024","367.50","367.50","367.50","367.50","","-1.34%"
"10/24/2024","372.50","372.50","372.50","372.50","","0.00%"
"10/23/2024","372.50","372.50","372.50","372.50","","0.00%"
"10/22/2024","372.50","372.50","372.50","372.50","","0.00%"
"10/21/2024","372.50","372.50","372.50","372.50","","0.00%"
"10/18/2024","372.50","372.50","372.50","372.50","","0.00%"
"10/17/2024","372.50","372.50","372.50","372.50","","0.00%"
"10/16/2024","372.50","372.50","372.50","372.50","","0.68%"
"10/15/2024","370.00","370.00","370.00","370.00","","0.68%"
