,RAZON SOCIAL,FECHA,PAIS ORIGEN,VIA TRANSPORTE,PAIS DESTINO,FOB U$S,FLETE U$S,TOTAL KGS NETO
0,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2011-11-25,CHINA,MARITIMO,ECUADOR,244324.8,29975.27,519840.0
1,DELCORP S.A.,2011-12-12,RUSSIAN FEDERATION,MARITIMO,ECUADOR,953290.25,100352.0,1792000.0
2,AGRIPAC S.A.,2011-12-12,RUSSIAN FEDERATION,MARITIMO,ECUADOR,5589941.0,588448.0,10508000.0
3,FERMAGRI S.A.,2011-11-16,CHINA,MARITIMO,ECUADOR,235000.0,33000.0,500000.0
4,DELCORP S.A.,2011-11-23,CHINA,MARITIMO,ECUADOR,260770.62,33000.0,519948.0
5,DELCORP S.A.,2011-11-18,CHINA,MARITIMO,ECUADOR,260770.62,33000.0,519948.0
6,FERMAGRI S.A.,2011-11-19,CHINA,MARITIMO,ECUADOR,240000.0,33000.0,500000.0
7,DELCORP S.A.,2011-11-26,CHINA,MARITIMO,ECUADOR,492086.75,86016.77,1011962.0
8,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2011-12-06,CHINA,MARITIMO,ECUADOR,174000.0,28000.0,400000.0
9,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2011-12-12,RUSSIAN FEDERATION,MARITIMO,ECUADOR,2442000.0,308000.0,5500000.0
10,DELCORP S.A.,2011-11-22,CHINA,MARITIMO,ECUADOR,239647.69,31974.03,498807.0
11,DELCORP S.A.,2011-11-22,CHINA,MARITIMO,ECUADOR,195622.81,22946.24,402003.0
12,IMPORTADORA INDUSTRIAL AGRICOLA DEL MONTE,2011-12-02,RUSSIAN FEDERATION,MARITIMO,ECUADOR,189760.0,14400.0,320000.0
13,DELCORP S.A.,2011-12-04,CHINA,MARITIMO,ECUADOR,366818.94,53000.0,735750.0
14,DELCORP S.A.,2011-11-25,CHINA,MARITIMO,ECUADOR,495606.38,86632.0,1019000.0
15,DELCORP S.A.,2011-12-08,CHINA,MARITIMO,ECUADOR,495606.38,86632.0,1019200.0
16,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2011-12-08,CHINA,MARITIMO,ECUADOR,469052.03,56405.89,1010496.0
17,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2011-12-02,CHINA,MARITIMO,ECUADOR,180000.0,28000.0,400000.0
18,DELCORP S.A.,2011-12-13,CHINA,MARITIMO,ECUADOR,491249.41,85870.4,1010240.0
19,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2011-12-15,CHINA,MARITIMO,ECUADOR,90000.0,14000.0,200000.0
20,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2011-12-15,CHINA,MARITIMO,ECUADOR,360000.0,56000.0,800000.0
21,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2011-12-25,CHINA,MARITIMO,ECUADOR,45000.0,8014.48,100000.0
22,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2011-12-15,CHINA,MARITIMO,ECUADOR,43500.0,7000.0,100000.0
23,DELCORP S.A.,2011-12-09,CHINA,MARITIMO,ECUADOR,380468.75,44400.0,744600.0
24,DELCORP S.A.,2011-12-09,CHINA,MARITIMO,ECUADOR,314605.16,36000.0,614450.0
25,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2011-12-17,CHINA,MARITIMO,ECUADOR,155366.34,15576.28,322290.0
26,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2011-12-26,CHINA,MARITIMO,ECUADOR,238133.69,31200.0,503880.0
27,UNIDAD NACIONAL DE ALMACENAMIENTO UNA,2012-01-24,VENEZUELA,MARITIMO,ECUADOR,8101554.5,968810.88,21097798.0
28,DELCORP S.A.,2011-12-11,CHINA,MARITIMO,ECUADOR,499652.25,57000.0,1012500.0
29,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2011-12-29,CHINA,MARITIMO,ECUADOR,204528.28,33660.8,432772.5
30,UNION DE ORGANIZACIONES CAMPESINAS CACAOTERAS UNOCACE,2012-01-28,FRANCE,MARITIMO,ECUADOR,2491.03,499.11,1119.6
31,DELCORP S.A.,2011-12-06,CHINA,MARITIMO,ECUADOR,261250.0,21250.0,500000.0
32,DELCORP S.A.,2011-12-06,CHINA,MARITIMO,ECUADOR,261250.0,21250.0,500000.0
33,DELCORP S.A.,2011-12-10,CHINA,MARITIMO,ECUADOR,50348.05,6000.0,102492.0
34,DELCORP S.A.,2011-12-03,CHINA,MARITIMO,ECUADOR,503184.62,58000.0,1020744.0
35,DELCORP S.A.,2011-12-20,CHINA,MARITIMO,ECUADOR,272380.62,31000.0,546750.0
36,DELCORP S.A.,2011-12-28,CHINA,MARITIMO,ECUADOR,59798.27,7000.0,121500.0
37,DELCORP S.A.,2011-12-28,CHINA,MARITIMO,ECUADOR,272480.62,30900.0,546750.0
38,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2011-12-15,CHINA,MARITIMO,ECUADOR,8698.35,0.01,19996.2
39,INTERAMERICANA DE PRODUCTOS QUIMICOS DEL ECUADOR S.A. INTERQUIMEC,2012-02-13,UKRAINE,MARITIMO,ECUADOR,1358280.0,164670.0,3300000.0
40,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2012-02-13,UKRAINE,MARITIMO,ECUADOR,838420.0,109780.0,2200000.0
41,IMPORTADORA INDUSTRIAL AGRICOLA DEL MONTE,2012-02-24,RUSSIAN FEDERATION,MARITIMO,ECUADOR,162901.06,24017.0,329000.0
42,UNIDAD NACIONAL DE ALMACENAMIENTO UNA,2012-03-17,VENEZUELA,MARITIMO,ECUADOR,7260295.0,757710.81,16500671.0
43,"FERTISA, FERTILIZANTES, TERMINALES I SERVICIOS C.L.",2012-03-17,UKRAINE,MARITIMO,ECUADOR,3697686.75,475475.0,9100000.0
44,"FERTISA, FERTILIZANTES, TERMINALES I SERVICIOS C.L.",2012-04-02,RUSSIAN FEDERATION,MARITIMO,ECUADOR,361213.44,26403.0,749250.0
45,MERCK C A,2012-04-25,GERMANY,AEREA,ECUADOR,121.31,23.99,973.58
46,"FERTISA, FERTILIZANTES, TERMINALES I SERVICIOS C.L.",2012-04-05,RUSSIAN FEDERATION,MARITIMO,ECUADOR,347835.16,25429.0,721500.0
47,UNIDAD NACIONAL DE ALMACENAMIENTO UNA,2012-04-22,VENEZUELA,MARITIMO,ECUADOR,8908340.0,757538.81,16496925.0
48,DELCORP S.A.,2012-06-16,UKRAINE,MARITIMO,ECUADOR,1821039.0,188100.0,3300000.0
49,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2012-05-29,RUSSIAN FEDERATION,MARITIMO,ECUADOR,126198.0,42066.0,350550.0
50,AGRIPAC S.A.,2012-06-16,UKRAINE,MARITIMO,ECUADOR,1215874.0,125400.0,2200000.0
51,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2012-06-18,UKRAINE,MARITIMO,ECUADOR,1149500.0,104500.0,2200000.0
52,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2012-06-18,UKRAINE,MARITIMO,ECUADOR,519750.0,52250.0,1100000.0
53,ADMECUADOR CIA. LTDA.,2012-06-18,UKRAINE,MARITIMO,ECUADOR,1581750.0,175750.0,3700000.0
54,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2012-06-09,RUSSIAN FEDERATION,MARITIMO,ECUADOR,133329.59,44443.2,370360.0
55,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2012-06-13,RUSSIAN FEDERATION,MARITIMO,ECUADOR,125856.0,41952.0,349600.0
56,INTERAMERICANA DE PRODUCTOS QUIMICOS DEL ECUADOR S.A. INTERQUIMEC,2012-06-18,UKRAINE,MARITIMO,ECUADOR,1567500.0,142500.0,3000000.0
57,SOLVESA ECUADOR S.A,2012-07-09,RUSSIAN FEDERATION,MARITIMO,ECUADOR,213532.0,47058.0,506000.0
58,SOLVESA ECUADOR S.A,2012-07-09,RUSSIAN FEDERATION,MARITIMO,ECUADOR,230649.98,29940.02,506000.0
59,MERCK C A,2012-08-04,GERMANY,AEREA,ECUADOR,153.17,8.61,641.6
60,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2012-07-15,RUSSIAN FEDERATION,MARITIMO,ECUADOR,10572.55,3534.0,29450.0
61,DELCORP S.A.,2012-07-27,UKRAINE,MARITIMO,ECUADOR,2066939.5,204782.64,4266305.0
62,"FERTISA, FERTILIZANTES, TERMINALES I SERVICIOS C.L.",2012-07-11,UKRAINE,MARITIMO,ECUADOR,1495857.0,191400.0,3300000.0
63,AGRIPAC S.A.,2012-07-27,UKRAINE,MARITIMO,ECUADOR,1601231.12,158400.0,3300000.0
64,UNIDAD NACIONAL DE ALMACENAMIENTO UNA,2012-07-27,VENEZUELA,MARITIMO,ECUADOR,5672901.0,812676.06,13192793.0
65,FERMAGRI S.A.,2012-07-28,RUSSIAN FEDERATION,MARITIMO,ECUADOR,222669.41,14297.0,489600.0
