,RAZON SOCIAL,FECHA,PAIS ORIGEN,VIA TRANSPORTE,PAIS DESTINO,FOB U$S,FLETE U$S,TOTAL KGS NETO,LATITUDE,LONGITUDE,NAME,TEMP,PRCP
0,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2011-11-25,CHINA,MARITIMO,ECUADOR,244324.8,29975.27,519840.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",75.0,0.0
1,DELCORP S.A.,2011-12-12,RUSSIAN FEDERATION,MARITIMO,ECUADOR,953290.25,100352.0,1792000.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",76.7,0.0
2,AGRIPAC S.A.,2011-12-12,RUSSIAN FEDERATION,MARITIMO,ECUADOR,5589941.0,588448.0,10508000.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",76.7,0.0
3,FERMAGRI S.A.,2011-11-16,CHINA,MARITIMO,ECUADOR,235000.0,33000.0,500000.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",74.0,0.0
4,DELCORP S.A.,2011-11-23,CHINA,MARITIMO,ECUADOR,260770.62,33000.0,519948.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",74.2,0.0
5,DELCORP S.A.,2011-11-18,CHINA,MARITIMO,ECUADOR,260770.62,33000.0,519948.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",74.3,0.0
6,FERMAGRI S.A.,2011-11-19,CHINA,MARITIMO,ECUADOR,240000.0,33000.0,500000.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",74.4,0.0
7,DELCORP S.A.,2011-11-26,CHINA,MARITIMO,ECUADOR,492086.75,86016.77,1011962.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",75.9,0.0
8,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2011-12-06,CHINA,MARITIMO,ECUADOR,174000.0,28000.0,400000.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",75.9,0.0
9,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2011-12-12,RUSSIAN FEDERATION,MARITIMO,ECUADOR,2442000.0,308000.0,5500000.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",76.7,0.0
10,DELCORP S.A.,2011-11-22,CHINA,MARITIMO,ECUADOR,239647.69,31974.03,498807.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",75.5,0.0
11,DELCORP S.A.,2011-11-22,CHINA,MARITIMO,ECUADOR,195622.81,22946.24,402003.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",75.5,0.0
12,IMPORTADORA INDUSTRIAL AGRICOLA DEL MONTE,2011-12-02,RUSSIAN FEDERATION,MARITIMO,ECUADOR,189760.0,14400.0,320000.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",75.1,0.0
13,DELCORP S.A.,2011-12-04,CHINA,MARITIMO,ECUADOR,366818.94,53000.0,735750.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",78.4,0.0
14,DELCORP S.A.,2011-11-25,CHINA,MARITIMO,ECUADOR,495606.38,86632.0,1019000.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",75.0,0.0
15,DELCORP S.A.,2011-12-08,CHINA,MARITIMO,ECUADOR,495606.38,86632.0,1019200.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",75.5,0.0
16,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2011-12-08,CHINA,MARITIMO,ECUADOR,469052.03,56405.89,1010496.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",75.5,0.0
17,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2011-12-02,CHINA,MARITIMO,ECUADOR,180000.0,28000.0,400000.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",75.1,0.0
18,DELCORP S.A.,2011-12-13,CHINA,MARITIMO,ECUADOR,491249.41,85870.4,1010240.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",76.6,99.99
19,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2011-12-15,CHINA,MARITIMO,ECUADOR,90000.0,14000.0,200000.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",78.5,0.0
20,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2011-12-15,CHINA,MARITIMO,ECUADOR,360000.0,56000.0,800000.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",78.5,0.0
21,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2011-12-25,CHINA,MARITIMO,ECUADOR,45000.0,8014.48,100000.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",81.7,0.0
22,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2011-12-15,CHINA,MARITIMO,ECUADOR,43500.0,7000.0,100000.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",78.5,0.0
23,DELCORP S.A.,2011-12-09,CHINA,MARITIMO,ECUADOR,380468.75,44400.0,744600.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",76.9,0.0
24,DELCORP S.A.,2011-12-09,CHINA,MARITIMO,ECUADOR,314605.16,36000.0,614450.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",76.9,0.0
25,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2011-12-17,CHINA,MARITIMO,ECUADOR,155366.34,15576.28,322290.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",82.5,0.0
26,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2011-12-26,CHINA,MARITIMO,ECUADOR,238133.69,31200.0,503880.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",79.1,0.0
27,UNIDAD NACIONAL DE ALMACENAMIENTO UNA,2012-01-24,VENEZUELA,MARITIMO,ECUADOR,8101554.5,968810.88,21097798.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",78.7,0.0
28,DELCORP S.A.,2011-12-11,CHINA,MARITIMO,ECUADOR,499652.25,57000.0,1012500.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",80.2,0.0
29,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2011-12-29,CHINA,MARITIMO,ECUADOR,204528.28,33660.8,432772.5,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",79.2,0.0
30,UNION DE ORGANIZACIONES CAMPESINAS CACAOTERAS UNOCACE,2012-01-28,FRANCE,MARITIMO,ECUADOR,2491.03,499.11,1119.6,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",77.8,0.31
31,DELCORP S.A.,2011-12-06,CHINA,MARITIMO,ECUADOR,261250.0,21250.0,500000.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",75.9,0.0
32,DELCORP S.A.,2011-12-06,CHINA,MARITIMO,ECUADOR,261250.0,21250.0,500000.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",75.9,0.0
