FECHA,PRCP
2009-01-04,99.99
2009-01-08,99.99
2009-01-10,99.99
2009-01-13,99.99
2009-01-14,99.99
2009-01-15,99.99
2009-01-16,99.99
2009-01-17,99.99
2009-02-01,99.99
2009-02-18,99.99
2009-02-26,99.99
2009-04-21,99.99
2009-04-23,99.99
2009-05-01,99.99
2009-05-02,99.99
2009-05-11,99.99
2009-06-21,99.99
2009-07-12,99.99
2009-09-19,99.99
2009-12-27,99.99
2010-01-10,99.99
2010-01-13,99.99
2010-01-18,99.99
2010-02-01,99.99
2010-02-05,99.99
2010-02-06,99.99
2010-02-07,99.99
2010-02-08,99.99
2010-02-28,99.99
2010-03-27,99.99
2010-04-07,99.99
2010-04-27,99.99
2010-04-28,99.99
2010-05-01,99.99
2010-05-02,99.99
2010-05-03,99.99
2010-05-10,99.99
2010-05-11,99.99
2010-05-12,99.99
2010-06-20,99.99
2010-06-29,99.99
2010-07-05,99.99
2010-07-14,99.99
2010-07-15,99.99
2010-07-18,99.99
2010-07-19,99.99
2010-12-09,99.99
2011-01-24,99.99
2011-01-25,99.99
2011-01-26,99.99
2011-01-27,99.99
2011-12-13,99.99
2011-12-28,99.99
2011-12-30,99.99
2011-12-31,99.99
2012-01-01,99.99
2012-01-02,99.99
2012-01-11,99.99
2012-02-16,99.99
2012-02-28,99.99
2012-03-11,99.99
2012-04-01,99.99
2012-04-23,99.99
2012-05-02,99.99
2012-05-13,99.99
2012-06-14,99.99
2012-11-01,99.99
2013-02-08,99.99
2013-02-17,99.99
2013-02-24,99.99
2013-03-09,99.99
2013-04-18,99.99
2013-08-27,99.99
2013-12-30,99.99
2014-01-13,99.99
2014-01-31,99.99
2014-03-22,99.99
2014-03-24,99.99
2014-03-26,99.99
2014-03-28,99.99
2014-04-05,99.99
2014-04-07,99.99
2014-04-10,99.99
2014-04-12,99.99
2014-04-26,99.99
2014-04-28,99.99
2014-04-29,99.99
2014-05-02,99.99
2014-05-06,99.99
2014-05-08,99.99
2014-05-15,99.99
2014-05-26,99.99
2014-05-28,99.99
2014-06-07,99.99
2014-09-22,99.99
2014-11-10,99.99
2015-01-03,99.99
2015-02-27,99.99
2015-05-14,99.99
2015-05-27,99.99
2015-06-07,99.99
2015-06-11,99.99
2015-10-09,99.99
2015-11-25,99.99
2015-12-19,99.99
2016-01-10,99.99
2016-02-06,99.99
2016-02-14,99.99
2016-02-25,99.99
2016-03-30,99.99
2016-04-28,99.99
2016-05-01,99.99
2016-09-03,99.99
2016-12-13,99.99
2016-12-20,99.99
2016-12-27,99.99
2017-01-26,99.99
2017-02-06,99.99
2017-03-04,99.99
2017-03-06,99.99
2017-04-03,99.99
2017-04-30,99.99
2017-05-02,99.99
2017-05-31,99.99
2017-08-31,99.99
2017-09-10,99.99
2017-10-09,99.99
2017-10-12,99.99
2017-12-05,99.99
2018-02-02,99.99
2018-02-22,99.99
2018-02-28,99.99
2018-03-03,99.99
2018-05-06,99.99
2018-05-13,99.99
2018-12-22,99.99
2019-01-06,99.99
2019-02-01,99.99
2019-02-23,99.99
2019-03-13,99.99
2019-03-28,99.99
2019-04-17,99.99
2019-04-22,99.99
2019-04-28,99.99
2019-05-01,99.99
2019-05-09,99.99
2019-05-16,99.99
2019-05-25,99.99
2019-06-25,99.99
2019-07-08,99.99
2019-09-01,99.99
2019-09-18,99.99
2019-12-30,99.99
2020-01-07,99.99
2020-01-20,99.99
2020-01-22,99.99
2020-02-10,99.99
2020-02-24,99.99
2020-02-29,99.99
2020-03-17,99.99
2020-04-06,99.99
2020-06-17,99.99
2020-07-24,99.99
2020-08-21,99.99
2020-10-10,99.99
2021-01-25,99.99
2021-01-28,99.99
2021-04-30,99.99
2021-05-01,99.99
2021-05-22,99.99
2021-08-13,99.99
2022-01-24,99.99
2022-03-25,99.99
2022-03-27,99.99
2022-03-28,99.99
2022-05-05,99.99
2022-05-10,99.99
2022-05-21,99.99
2022-08-17,99.99
2022-10-20,5.99
2023-03-17,99.99
2023-03-21,99.99
2023-04-19,99.99
2023-05-06,99.99
2023-06-02,99.99
2024-01-19,99.99
2024-02-06,99.99
2024-04-17,99.99
2024-06-03,7.13
2024-12-13,99.99
