Year,Month,Promedio PRCP
2009,1,25.81
2009,2,10.74
2009,3,0.03
2009,4,6.67
2009,5,9.68
2009,6,3.33
2009,7,3.23
2009,8,0.01
2009,9,3.33
2009,10,0.0
2009,11,0.0
2009,12,3.23
2010,1,9.69
2010,2,21.51
2010,3,3.33
2010,4,10.02
2010,5,19.35
2010,6,6.67
2010,7,16.13
2010,8,0.0
2010,9,0.0
2010,10,0.0
2010,11,0.0
2010,12,4.37
2011,1,12.92
2011,2,0.15
2011,3,0.0
2011,4,0.06
2011,5,0.0
2011,6,0.0
2011,7,0.0
2011,8,0.0
2011,9,0.0
2011,10,0.0
2011,11,0.0
2011,12,12.9
2012,1,9.77
2012,2,7.38
2012,3,3.44
2012,4,6.67
2012,5,6.45
2012,6,3.33
2012,7,0.0
2012,8,0.0
2012,9,0.0
2012,10,0.0
2012,11,3.33
2012,12,0.0
2013,1,0.25
2013,2,10.78
2013,3,3.46
2013,4,3.42
2013,5,0.0
2013,6,0.0
2013,7,0.0
2013,8,3.23
2013,9,0.0
2013,10,0.0
2013,11,0.0
2013,12,3.23
2014,1,6.49
2014,2,0.03
2014,3,12.9
2014,4,23.33
2014,5,19.35
2014,6,3.33
2014,7,0.0
2014,8,0.0
2014,9,3.33
2014,10,0.0
2014,11,3.33
2014,12,0.02
2015,1,3.23
2015,2,3.57
2015,3,0.02
2015,4,0.02
2015,5,6.46
2015,6,6.67
2015,7,0.0
2015,8,0.0
2015,9,0.0
2015,10,3.23
2015,11,3.33
2015,12,3.23
2016,1,3.36
2016,2,10.43
2016,3,3.31
2016,4,3.37
2016,5,3.23
2016,6,0.0
2016,7,0.0
2016,8,0.0
2016,9,3.33
2016,10,0.0
2016,11,0.0
2016,12,9.68
2017,1,3.36
2017,2,3.73
2017,3,6.51
2017,4,6.72
2017,5,6.51
2017,6,0.0
2017,7,0.01
2017,8,3.23
2017,9,3.33
2017,10,6.45
2017,11,0.0
2017,12,3.34
2018,1,0.0
2018,2,10.84
2018,3,3.27
2018,4,0.0
2018,5,6.46
2018,6,0.0
2018,7,0.0
2018,8,0.0
2018,9,0.0
2018,10,0.0
2018,11,0.0
2018,12,3.26
2019,1,3.28
2019,2,7.32
2019,3,6.54
2019,4,10.01
2019,5,12.9
2019,6,3.85
2019,7,3.23
2019,8,0.0
2019,9,6.67
2019,10,0.0
2019,11,0.0
2019,12,3.23
2020,1,9.68
2020,2,10.4
2020,3,3.24
2020,4,3.35
2020,5,0.01
2020,6,3.33
2020,7,4.35
2020,8,3.23
2020,9,0.0
2020,10,3.23
2020,11,0.0
2020,12,0.0
2021,1,6.61
2021,2,0.06
2021,3,0.09
2021,4,3.35
2021,5,6.47
2021,6,0.0
2021,7,0.0
2021,8,3.23
2021,9,0.0
2021,10,0.0
2021,11,0.0
2021,12,0.05
2022,1,3.27
2022,2,0.03
2022,3,9.79
2022,4,0.04
2022,5,9.68
2022,6,0.0
2022,7,0.01
2022,8,3.23
2022,9,0.0
2022,10,0.2
2022,11,0.0
2022,12,0.0
2023,1,0.0
2023,2,0.14
2023,3,6.84
2023,4,3.39
2023,5,3.23
2023,6,3.34
2023,7,0.04
2023,8,0.0
2023,9,0.0
2023,10,0.0
2023,11,0.0
2023,12,0.05
2024,1,3.25
2024,2,3.72
2024,3,0.04
2024,4,3.36
2024,5,0.0
2024,6,0.24
2024,7,0.0
2024,8,0.0
2024,9,0.0
2024,10,0.0
2024,11,0.0
2024,12,3.23
