,FECHA,PAIS ORIGEN,VIA TRANSPORTE,PAIS DESTINO,FOB U$S,FLETE U$S,TOTAL KGS NETO
0,2008-10-27,CHINA,MARITIMO,NO ESPECIFICADO,359550.25,76110.0,575000.0
1,2009-02-18,RUSSIAN FEDERATION,CARRETERA,NO ESPECIFICADO,75664.81,6800.0,240000.0
2,2009-03-02,VENEZUELA,MARITIMO,NO ESPECIFICADO,5781583.0,748095.5,20648510.0
3,2009-03-04,PERU,CARRETERA,NO ESPECIFICADO,76244.8,4800.0,240000.0
4,2009-03-10,RUSSIAN FEDERATION,CARRETERA,NO ESPECIFICADO,76144.81,6400.0,240000.0
5,2009-03-12,RUSSIAN FEDERATION,CARRETERA,NO ESPECIFICADO,76144.8,6400.0,240000.0
6,2009-03-13,RUSSIAN FEDERATION,CARRETERA,NO ESPECIFICADO,76144.81,6400.0,240000.0
7,2009-03-15,RUSSIAN FEDERATION,MARITIMO,NO ESPECIFICADO,392136.0,22880.0,1000000.0
8,2009-03-17,RUSSIAN FEDERATION,CARRETERA,NO ESPECIFICADO,85681.81,7200.0,270000.0
9,2009-03-19,RUSSIAN FEDERATION,CARRETERA,NO ESPECIFICADO,85700.71,7200.0,270000.0
10,2009-03-20,RUSSIAN FEDERATION,CARRETERA,NO ESPECIFICADO,82062.24,7200.0,258480.0
11,2009-03-08,LATVIA,MARITIMO,NO ESPECIFICADO,457245.0,61875.0,1500000.0
12,2009-03-08,RUSSIAN FEDERATION,MARITIMO,NO ESPECIFICADO,1575600.0,247500.0,6000000.0
13,2009-03-04,RUSSIAN FEDERATION,MARITIMO,NO ESPECIFICADO,1891481.38,239400.0,6300000.0
14,2009-04-08,VENEZUELA,MARITIMO,NO ESPECIFICADO,4232816.5,626258.81,16502209.0
15,2009-03-23,RUSSIAN FEDERATION,MARITIMO,ECUADOR,1513160.0,275000.0,5500000.0
16,2009-05-30,UNITED STATES,MARITIMO,NO ESPECIFICADO,1733058.75,345173.53,10069801.0
17,2009-05-08,RUSSIAN FEDERATION,MARITIMO,NO ESPECIFICADO,1871156.0,314500.0,6800000.0
18,2009-06-23,RUSSIAN FEDERATION,CARRETERA,NO ESPECIFICADO,52480.0,6720.0,160000.0
19,2009-06-24,RUSSIAN FEDERATION,CARRETERA,NO ESPECIFICADO,78921.6,10080.0,240000.0
20,2009-07-04,RUSSIAN FEDERATION,CARRETERA,NO ESPECIFICADO,22440.0,1540.0,66000.0
21,2009-07-29,RUSSIAN FEDERATION,CARRETERA,ECUADOR,76493.44,6221.6,242400.0
22,2009-07-31,RUSSIAN FEDERATION,CARRETERA,ECUADOR,76493.44,6221.6,242400.0
23,2009-07-15,RUSSIAN FEDERATION,MARITIMO,ECUADOR,2254500.0,414000.0,12300000.0
24,2009-08-03,RUSSIAN FEDERATION,CARRETERA,ECUADOR,76493.44,6221.6,242400.0
25,2009-07-27,RUSSIAN FEDERATION,CARRETERA,ECUADOR,20400.0,1500.0,60000.0
26,2009-08-10,RUSSIAN FEDERATION,CARRETERA,ECUADOR,30600.0,2310.0,90000.0
27,2009-08-07,RUSSIAN FEDERATION,CARRETERA,ECUADOR,86086.68,7001.87,274210.0
28,2009-08-07,RUSSIAN FEDERATION,CARRETERA,ECUADOR,444.95,36.19,1789050.560509554
29,2009-08-10,RUSSIAN FEDERATION,MARITIMO,ECUADOR,350488.56,14796.0,829389.0
30,2009-08-10,GERMANY,AEREA,ECUADOR,104.51,11.69,144.52
31,2009-08-17,RUSSIAN FEDERATION,CARRETERA,ECUADOR,20400.0,1540.0,60000.0
32,2009-08-17,RUSSIAN FEDERATION,MARITIMO,ECUADOR,171829.14,7398.0,406844.0
33,2009-08-21,RUSSIAN FEDERATION,CARRETERA,ECUADOR,10200.0,769.63,150000.0
34,2009-08-21,RUSSIAN FEDERATION,CARRETERA,ECUADOR,5100.0,385.27,92368.42105263157
35,2009-08-21,RUSSIAN FEDERATION,CARRETERA,ECUADOR,5250.0,385.27,92368.42105263157
36,2009-08-03,BELARUS,MARITIMO,ECUADOR,1466651.0,275997.56,5519951.0
