Year,FOB U$S Total,TOTAL KGS NETO
2008,359550.25,575000.0
2009,54884300.11,220222068.26
2010,64133850.02,217517581.66
2011,125630739.23,294752384.67
2012,113628541.92,250106514.99
2013,45903440.8,148141214.46
2014,65878582.88,214644648.74
2015,1936698.77,6543290.0
2016,44509743.62,297420582.2
2017,53978547.5,243449486.77
2018,53615411.88,201502668.2
2019,4840309.0,22078648.73
2020,56658076.17,276798231.72
2021,120867571.4,274738767.36
2022,73636514.66,140691429.96
2023,105424843.32,395089042.29
2024,60925001.37,210775238.62
