Year,Month,FOB U$S Total,TOTAL KGS NETO
2021,12,26534264.41,35359017.53
2022,11,21028746.69,38093725.24
2011,8,20538153.84,40726207.8
2014,11,20307202.0,68880007.34
2013,11,19624307.13,59400544.0
2012,11,19212363.38,35031548.07
2021,9,18873171.63,46101002.24
2022,1,17801199.76,23588619.12
2012,3,16926941.13,40345874.82
2011,12,15372363.01,30884410.7
2011,2,15178171.0,39712211.0
2023,11,14836638.98,48746859.71
2011,3,14323273.15,38201369.39
2014,3,14167436.77,40864011.8
2017,12,13976136.84,52209764.64
2021,4,13563458.32,38920967.78
2023,12,13411030.14,65715469.06
2011,1,13267454.5,37871544.0
2010,5,13216998.13,51699015.0
2009,10,13106000.74,54327081.73
2012,10,13014222.5,44353769.68
2012,7,13011944.56,28889748.0
2011,11,12905413.74,26777477.29
2023,1,12865650.57,28251210.0
2017,11,12310048.46,70305457.0
2009,3,12169329.36,42706990.0
2010,2,11812945.12,41161823.0
2023,9,11773427.81,47092140.6
2012,8,11746303.68,27768402.6
2020,10,11673778.28,55136993.12
2011,10,11467364.7,22000015.0
2023,4,11130692.53,41514201.31
2014,10,10963022.33,43574556.24
2024,10,10755710.0,30538369.61
2022,12,10482233.74,25180815.53
2012,12,10449112.49,8842105.38
2023,2,9956268.7,32224119.6
2021,5,9708204.04,28879060.13
2012,4,9617509.91,17968648.58
2018,11,9608937.23,30703890.0
2021,11,9413130.75,13624990.0
2021,7,9216275.34,20231760.0
2021,10,9120527.54,15659650.0
2016,12,8992068.39,43093009.12
2020,9,8987969.09,40594976.34
2011,6,8922313.32,20042087.0
2010,7,8826687.25,32580239.0
2010,3,8785469.6,28331141.0
2024,4,8609124.43,32029743.18
2024,7,8193193.31,25288910.0
2012,6,8114598.59,16219960.0
2012,1,8104045.53,21098917.6
2024,9,7894563.62,26217258.51
2018,8,7874331.75,30274330.56
2011,4,7813379.0,23551668.0
2023,10,7646051.84,30215284.71
2009,8,7570218.78,31222725.92
2021,2,7475838.84,24995439.12
2023,3,7374088.35,28303323.53
2014,9,7289392.87,22418952.1
2010,10,7234521.75,21559993.0
2017,5,6909815.05,30604395.0
2023,8,6801812.83,27039228.11
2020,11,6754959.71,27766000.0
2024,2,6724386.41,23388862.62
2018,10,6656484.25,22441255.0
2014,1,6584115.81,20426152.56
2016,11,6447476.21,29624967.5
2022,7,6270342.44,22007638.42
2020,4,6232023.26,25341000.0
2020,12,6170823.13,49313112.5
2016,4,6077295.94,73594215.52
2009,12,6011760.5,22353276.0
2021,3,5840385.71,18548280.56
2016,1,5734275.65,23707351.76
2013,5,5717152.93,15529311.07
2023,6,5383539.5,18528000.0
2020,6,5277318.58,28025913.69
2013,8,5031126.81,26114479.87
2013,9,4802413.04,11379209.0
2021,1,4682035.19,18255000.0
2022,4,4669070.0,5858100.0
2013,2,4590463.28,15066352.47
2021,8,4588878.66,9119800.0
2019,12,4437955.64,20599370.56
2023,5,4245642.07,27459205.66
2009,4,4232816.5,16502209.0
2024,3,4198679.91,15208942.62
2018,3,4172011.12,18700182.56
2018,12,4109489.17,10477468.21
2018,2,4080202.67,17300876.5
2018,7,4004169.88,17795238.56
2010,4,3996269.28,13200820.0
2009,9,3965520.18,16793184.61
2018,9,3889451.34,13744163.5
2011,5,3882887.82,11044899.8
2022,6,3801791.0,10608599.68
2010,12,3728626.86,9389430.88
2020,3,3696397.95,15649866.25
2017,10,3683244.04,15530210.0
2022,9,3653939.74,5698124.27
2024,12,3629593.69,15541206.6
2017,1,3607403.5,14901241.0
2009,5,3604214.75,16869801.0
2022,3,3560774.0,6599521.0
2018,1,3531050.8,13902013.97
2016,3,3528167.79,53680860.02
2010,11,3461510.77,9014617.91
2018,6,3327064.0,14697114.56
2024,5,3174968.49,12999589.8
2024,11,3101462.42,10864989.75
2016,5,3018194.71,15574184.56
2020,5,2955474.26,13378837.56
2010,1,2921793.0,10180000.0
2020,8,2874489.35,10674850.0
2016,2,2682540.27,16083556.52
2017,3,2610680.97,10131600.0
2024,1,2521324.59,11852145.93
2009,7,2450326.88,12910800.0
2012,2,2359601.06,5829000.0
2017,4,2352775.3,9142053.86
2016,6,2278685.56,12320866.67
2017,6,2276262.87,9745317.0
2017,8,2197663.62,10901600.0
2014,2,2167870.87,5822183.38
2014,12,2022958.26,5874599.65
2022,2,1993433.0,2479000.0
2016,9,1956173.73,9845200.0
2017,9,1914617.8,9734611.75
2021,6,1851400.97,5043800.0
2016,8,1668924.86,8027861.36
2011,9,1647137.27,3339976.0
2024,6,1610187.06,5247220.0
2009,11,1567046.01,5896000.0
2017,7,1490162.67,7488236.52
2015,12,1488315.71,4961090.0
2013,7,1436333.33,4494153.5
2016,10,1349395.71,6433981.35
2018,4,1325646.38,7234578.78
2014,5,1259135.53,3513706.0
2013,12,1254825.38,7385445.12
2013,1,1197527.64,6856205.12
2020,1,1150679.61,4940184.0
2018,5,1036573.29,4231556.0
2012,9,945701.09,3407990.26
2013,10,892985.63,1249430.0
2016,7,776544.8,5434527.82
2014,8,727789.5,2122696.0
2017,2,649736.38,2755000.0
2020,7,622657.62,4911948.26
2013,6,572440.44,33930.0
2013,4,514580.92,42896.13
2024,8,511807.44,1598000.0
2015,11,433865.0,1552500.0
2022,10,374400.0,576000.0
2008,10,359550.25,575000.0
2014,6,339788.39,1092508.0
2011,7,312827.88,600518.69
2019,11,289800.03,1160000.0
2013,3,269284.27,589258.18
2020,2,261505.33,1064550.0
2010,9,137028.26,360501.87
2009,6,131401.6,400000.0
2012,5,126198.0,350550.0
2019,1,112553.33,319278.17
2009,2,75664.81,240000.0
2014,7,49776.65,55000.0
2015,1,14518.06,29700.0
2010,8,12000.0,40000.0
2022,8,584.29,1286.7
2014,4,93.9,275.67
