Year,Month,FOB U$S Total
2021,12,26534264.41
2022,11,21028746.69
2011,8,20538153.84
2014,11,20307202.0
2013,11,19624307.13
2012,11,19212363.38
2021,9,18873171.63
2022,1,17801199.76
2012,3,16926941.13
2011,12,15372363.01
2011,2,15178171.0
2023,11,14836638.98
2011,3,14323273.15
2014,3,14167436.77
2017,12,13976136.84
2021,4,13563458.32
2023,12,13411030.14
2011,1,13267454.5
2010,5,13216998.13
2009,10,13106000.74
2012,10,13014222.5
2012,7,13011944.56
2011,11,12905413.74
2023,1,12865650.57
2017,11,12310048.46
2009,3,12169329.36
2010,2,11812945.12
2023,9,11773427.81
2012,8,11746303.68
2020,10,11673778.28
2011,10,11467364.7
2023,4,11130692.53
2014,10,10963022.33
2024,10,10755710.0
2022,12,10482233.74
2012,12,10449112.49
2023,2,9956268.7
2021,5,9708204.04
2012,4,9617509.91
2018,11,9608937.23
2021,11,9413130.75
2021,7,9216275.34
2021,10,9120527.54
2016,12,8992068.39
2020,9,8987969.09
2011,6,8922313.32
2010,7,8826687.25
2010,3,8785469.6
2024,4,8609124.43
2024,7,8193193.31
2012,6,8114598.59
2012,1,8104045.53
2024,9,7894563.62
2018,8,7874331.75
2011,4,7813379.0
2023,10,7646051.84
2009,8,7570218.78
2021,2,7475838.84
2023,3,7374088.35
2014,9,7289392.87
2010,10,7234521.75
2017,5,6909815.05
2023,8,6801812.83
2020,11,6754959.71
2024,2,6724386.41
2018,10,6656484.25
2014,1,6584115.81
2016,11,6447476.21
2022,7,6270342.44
2020,4,6232023.26
2020,12,6170823.13
2016,4,6077295.94
2009,12,6011760.5
2021,3,5840385.71
2016,1,5734275.65
2013,5,5717152.93
2023,6,5383539.5
2020,6,5277318.58
2013,8,5031126.81
2013,9,4802413.04
2021,1,4682035.19
2022,4,4669070.0
2013,2,4590463.28
2021,8,4588878.66
2019,12,4437955.64
2023,5,4245642.07
2009,4,4232816.5
2024,3,4198679.91
2018,3,4172011.12
2018,12,4109489.17
2018,2,4080202.67
2018,7,4004169.88
2010,4,3996269.28
2009,9,3965520.18
2018,9,3889451.34
2011,5,3882887.82
2022,6,3801791.0
2010,12,3728626.86
2020,3,3696397.95
2017,10,3683244.04
2022,9,3653939.74
2024,12,3629593.69
2017,1,3607403.5
2009,5,3604214.75
2022,3,3560774.0
2018,1,3531050.8
2016,3,3528167.79
2010,11,3461510.77
2018,6,3327064.0
2024,5,3174968.49
2024,11,3101462.42
2016,5,3018194.71
2020,5,2955474.26
2010,1,2921793.0
2020,8,2874489.35
2016,2,2682540.27
2017,3,2610680.97
2024,1,2521324.59
2009,7,2450326.88
2012,2,2359601.06
2017,4,2352775.3
2016,6,2278685.56
2017,6,2276262.87
2017,8,2197663.62
2014,2,2167870.87
2014,12,2022958.26
2022,2,1993433.0
2016,9,1956173.73
2017,9,1914617.8
2021,6,1851400.97
2016,8,1668924.86
2011,9,1647137.27
2024,6,1610187.06
2009,11,1567046.01
2017,7,1490162.67
2015,12,1488315.71
2013,7,1436333.33
2016,10,1349395.71
2018,4,1325646.38
2014,5,1259135.53
2013,12,1254825.38
2013,1,1197527.64
2020,1,1150679.61
2018,5,1036573.29
2012,9,945701.09
2013,10,892985.63
2016,7,776544.8
2014,8,727789.5
2017,2,649736.38
2020,7,622657.62
2013,6,572440.44
2013,4,514580.92
2024,8,511807.44
2015,11,433865.0
2022,10,374400.0
2008,10,359550.25
2014,6,339788.39
2011,7,312827.88
2019,11,289800.03
2013,3,269284.27
2020,2,261505.33
2010,9,137028.26
2009,6,131401.6
2012,5,126198.0
2019,1,112553.33
2009,2,75664.81
2014,7,49776.65
2015,1,14518.06
2010,8,12000.0
2022,8,584.29
2014,4,93.9
