Year,Month,TOTAL KGS NETO
2016,4,73594215.52
2017,11,70305457.0
2014,11,68880007.34
2023,12,65715469.06
2013,11,59400544.0
2020,10,55136993.12
2009,10,54327081.73
2016,3,53680860.02
2017,12,52209764.64
2010,5,51699015.0
2020,12,49313112.5
2023,11,48746859.71
2023,9,47092140.6
2021,9,46101002.24
2012,10,44353769.68
2014,10,43574556.24
2016,12,43093009.12
2009,3,42706990.0
2023,4,41514201.31
2010,2,41161823.0
2014,3,40864011.8
2011,8,40726207.8
2020,9,40594976.34
2012,3,40345874.82
2011,2,39712211.0
2021,4,38920967.78
2011,3,38201369.39
2022,11,38093725.24
2011,1,37871544.0
2021,12,35359017.53
2012,11,35031548.07
2010,7,32580239.0
2023,2,32224119.6
2024,4,32029743.18
2009,8,31222725.92
2011,12,30884410.7
2018,11,30703890.0
2017,5,30604395.0
2024,10,30538369.61
2018,8,30274330.56
2023,10,30215284.71
2016,11,29624967.5
2012,7,28889748.0
2021,5,28879060.13
2010,3,28331141.0
2023,3,28303323.53
2023,1,28251210.0
2020,6,28025913.69
2012,8,27768402.6
2020,11,27766000.0
2023,5,27459205.66
2023,8,27039228.11
2011,11,26777477.29
2024,9,26217258.51
2013,8,26114479.87
2020,4,25341000.0
2024,7,25288910.0
2022,12,25180815.53
2021,2,24995439.12
2016,1,23707351.76
2022,1,23588619.12
2011,4,23551668.0
2024,2,23388862.62
2018,10,22441255.0
2014,9,22418952.1
2009,12,22353276.0
2022,7,22007638.42
2011,10,22000015.0
2010,10,21559993.0
2012,1,21098917.6
2019,12,20599370.56
2014,1,20426152.56
2021,7,20231760.0
2011,6,20042087.0
2018,3,18700182.56
2021,3,18548280.56
2023,6,18528000.0
2021,1,18255000.0
2012,4,17968648.58
2018,7,17795238.56
2018,2,17300876.5
2009,5,16869801.0
2009,9,16793184.61
2009,4,16502209.0
2012,6,16219960.0
2016,2,16083556.52
2021,10,15659650.0
2020,3,15649866.25
2016,5,15574184.56
2024,12,15541206.6
2017,10,15530210.0
2013,5,15529311.07
2024,3,15208942.62
2013,2,15066352.47
2017,1,14901241.0
2018,6,14697114.56
2018,1,13902013.97
2018,9,13744163.5
2021,11,13624990.0
2020,5,13378837.56
2010,4,13200820.0
2024,5,12999589.8
2009,7,12910800.0
2016,6,12320866.67
2024,1,11852145.93
2013,9,11379209.0
2011,5,11044899.8
2017,8,10901600.0
2024,11,10864989.75
2020,8,10674850.0
2022,6,10608599.68
2018,12,10477468.21
2010,1,10180000.0
2017,3,10131600.0
2016,9,9845200.0
2017,6,9745317.0
2017,9,9734611.75
2010,12,9389430.88
2017,4,9142053.86
2021,8,9119800.0
2010,11,9014617.91
2012,12,8842105.38
2016,8,8027861.36
2017,7,7488236.52
2013,12,7385445.12
2018,4,7234578.78
2013,1,6856205.12
2022,3,6599521.0
2016,10,6433981.35
2009,11,5896000.0
2014,12,5874599.65
2022,4,5858100.0
2012,2,5829000.0
2014,2,5822183.38
2022,9,5698124.27
2016,7,5434527.82
2024,6,5247220.0
2021,6,5043800.0
2015,12,4961090.0
2020,1,4940184.0
2020,7,4911948.26
2013,7,4494153.5
2018,5,4231556.0
2014,5,3513706.0
2012,9,3407990.26
2011,9,3339976.0
2017,2,2755000.0
2022,2,2479000.0
2014,8,2122696.0
2024,8,1598000.0
2015,11,1552500.0
2013,10,1249430.0
2019,11,1160000.0
2014,6,1092508.0
2020,2,1064550.0
2011,7,600518.69
2013,3,589258.18
2022,10,576000.0
2008,10,575000.0
2009,6,400000.0
2010,9,360501.87
2012,5,350550.0
2019,1,319278.17
2009,2,240000.0
2014,7,55000.0
2013,4,42896.13
2010,8,40000.0
2013,6,33930.0
2015,1,29700.0
2022,8,1286.7
2014,4,275.67
