FECHA,Price,Change %
2025-03-28,24.64,-0.61%
2025-03-27,24.79,-1.78%
2025-03-26,25.24,0.24%
2025-03-25,25.18,0.16%
2025-03-24,25.14,1.66%
2025-03-21,24.73,-0.96%
2025-03-20,24.97,-0.12%
2025-03-19,25.0,2.21%
2025-03-18,24.46,0.78%
2025-03-17,24.27,1.72%
2025-03-14,23.86,3.16%
2025-03-13,23.13,-1.53%
2025-03-12,23.49,1.08%
2025-03-11,23.24,1.57%
2025-03-10,22.88,0.84%
2025-03-07,22.69,1.43%
2025-03-06,22.37,-1.84%
2025-03-05,22.79,-1.17%
2025-03-04,23.06,-0.30%
2025-03-03,23.13,-4.89%
2025-02-28,24.32,0.87%
2025-02-27,24.11,-0.78%
2025-02-26,24.3,-0.25%
2025-02-25,24.36,-2.40%
2025-02-24,24.96,-0.40%
2025-02-21,25.06,-3.36%
2025-02-20,25.93,-0.12%
2025-02-19,25.96,1.64%
2025-02-18,25.54,0.99%
2025-02-14,25.29,0.68%
2025-02-13,25.12,0.64%
2025-02-12,24.96,-2.99%
2025-02-11,25.73,0.43%
2025-02-10,25.62,3.77%
2025-02-07,24.69,-0.32%
2025-02-06,24.77,-2.02%
2025-02-05,25.28,0.16%
2025-02-04,25.24,1.61%
2025-02-03,24.84,-0.12%
2025-01-31,24.87,-2.89%
2025-01-30,25.61,0.04%
2025-01-29,25.6,0.59%
2025-01-28,25.45,0.00%
2025-01-27,25.45,-2.57%
2025-01-24,26.12,-1.32%
2025-01-23,26.47,-0.26%
2025-01-22,26.54,-0.64%
2025-01-21,26.71,-0.93%
2025-01-17,26.96,-0.48%
2025-01-16,27.09,0.44%
2025-01-15,26.97,1.24%
2025-01-14,26.64,0.99%
2025-01-13,26.38,1.62%
2025-01-10,25.96,0.89%
2025-01-08,25.73,0.70%
2025-01-07,25.55,1.31%
2025-01-06,25.22,0.16%
2025-01-03,25.18,0.28%
2025-01-02,25.11,1.95%
2024-12-31,24.63,1.11%
2024-12-30,24.36,2.35%
2024-12-27,23.8,0.38%
2024-12-26,23.71,-0.71%
2024-12-24,23.88,1.62%
2024-12-23,23.5,1.21%
2024-12-20,23.22,1.04%
2024-12-19,22.98,-0.69%
2024-12-18,23.14,-3.14%
2024-12-17,23.89,-0.79%
2024-12-16,24.08,-2.35%
2024-12-13,24.66,-1.24%
2024-12-12,24.97,-0.40%
2024-12-11,25.07,2.16%
2024-12-10,24.54,-0.61%
2024-12-09,24.69,0.65%
2024-12-06,24.53,-2.58%
2024-12-05,25.18,0.04%
2024-12-04,25.17,-2.48%
2024-12-03,25.81,0.66%
2024-12-02,25.64,-1.80%
2024-11-29,26.11,0.69%
2024-11-27,25.93,0.12%
2024-11-26,25.9,-0.58%
2024-11-25,26.05,-1.62%
2024-11-22,26.48,0.57%
2024-11-21,26.33,1.43%
2024-11-20,25.96,1.76%
2024-11-19,25.51,-0.70%
2024-11-18,25.69,2.11%
2024-11-15,25.16,-1.02%
2024-11-14,25.42,0.95%
2024-11-13,25.18,0.32%
2024-11-12,25.1,-1.06%
2024-11-11,25.37,1.56%
2024-11-08,24.98,0.28%
2024-11-07,24.91,-0.60%
2024-11-06,25.06,4.85%
2024-11-05,23.9,0.93%
2024-11-04,23.68,1.98%
2024-11-01,23.22,-1.32%
2024-10-31,23.53,-1.34%
2024-10-30,23.85,1.15%
2024-10-29,23.58,-0.80%
2024-10-28,23.77,-1.70%
2024-10-25,24.18,0.00%
2024-10-24,24.18,1.04%
2024-10-23,23.93,-0.58%
2024-10-22,24.07,-0.04%
2024-10-21,24.08,-0.50%
2024-10-18,24.2,-0.66%
2024-10-17,24.36,0.58%
2024-10-16,24.22,0.75%
2024-10-15,24.04,-3.61%
2024-10-14,24.94,-1.58%
2024-10-11,25.34,0.96%
2024-10-10,25.1,0.88%
2024-10-09,24.88,-0.40%
2024-10-08,24.98,-2.35%
2024-10-07,25.58,0.71%
2024-10-04,25.4,0.83%
2024-10-03,25.19,2.82%
2024-10-02,24.5,1.20%
2024-10-01,24.21,1.94%
2024-09-30,23.75,0.30%
2024-09-27,23.68,2.73%
2024-09-26,23.05,-3.96%
2024-09-25,24.0,-2.44%
2024-09-24,24.6,-0.49%
2024-09-23,24.72,1.23%
2024-09-20,24.42,0.12%
2024-09-19,24.39,1.12%
2024-09-18,24.12,0.08%
2024-09-17,24.1,1.60%
2024-09-16,23.72,1.19%
2024-09-13,23.44,0.86%
2024-09-12,23.24,0.30%
2024-09-11,23.17,0.48%
2024-09-10,23.06,-1.03%
2024-09-09,23.3,-0.72%
2024-09-06,23.47,-1.84%
2024-09-05,23.91,-0.25%
2024-09-04,23.97,-1.80%
2024-09-03,24.41,-3.78%
2024-08-30,25.37,-0.74%
2024-08-29,25.56,1.87%
2024-08-28,25.09,-0.75%
2024-08-27,25.28,-1.17%
2024-08-26,25.58,1.03%
2024-08-23,25.32,1.89%
2024-08-22,24.85,-0.08%
2024-08-21,24.87,-0.16%
2024-08-20,24.91,-2.08%
2024-08-19,25.44,0.87%
2024-08-16,25.22,-0.32%
2024-08-15,25.3,1.81%
2024-08-14,24.85,0.61%
2024-08-13,24.7,-1.28%
2024-08-12,25.02,1.54%
2024-08-09,24.64,0.00%
2024-08-08,24.64,3.10%
2024-08-07,23.9,0.72%
2024-08-06,23.73,0.59%
2024-08-05,23.59,-2.96%
2024-08-02,24.31,-4.89%
2024-08-01,25.56,-2.96%
2024-07-31,26.34,1.50%
2024-07-30,25.95,0.39%
2024-07-29,25.85,-1.03%
2024-07-26,26.12,0.38%
2024-07-25,26.02,0.31%
2024-07-24,25.94,-1.48%
2024-07-23,26.33,-1.64%
2024-07-22,26.77,-0.45%
2024-07-19,26.89,-0.85%
2024-07-18,27.12,-0.26%
2024-07-17,27.19,-0.18%
2024-07-16,27.24,0.00%
2024-07-15,27.24,1.45%
2024-07-12,26.85,0.22%
2024-07-11,26.79,1.71%
2024-07-10,26.34,0.73%
2024-07-09,26.15,-0.57%
2024-07-08,26.3,0.31%
2024-07-05,26.22,-2.20%
2024-07-03,26.81,1.06%
2024-07-02,26.53,0.80%
2024-07-01,26.32,0.15%
2024-06-28,26.28,0.15%
2024-06-27,26.24,-0.83%
2024-06-26,26.46,-1.01%
2024-06-25,26.73,-0.30%
2024-06-24,26.81,3.35%
2024-06-21,25.94,-0.84%
2024-06-20,26.16,0.89%
2024-06-18,25.93,0.54%
2024-06-17,25.79,0.00%
2024-06-14,25.79,-1.79%
2024-06-13,26.26,-1.76%
2024-06-12,26.73,-0.96%
2024-06-11,26.99,-0.11%
2024-06-10,27.02,2.12%
2024-06-07,26.46,-0.38%
2024-06-06,26.56,0.30%
2024-06-05,26.48,0.49%
2024-06-04,26.35,-1.68%
2024-06-03,26.8,-3.00%
2024-05-31,27.63,1.84%
2024-05-30,27.13,0.44%
2024-05-29,27.01,-1.32%
2024-05-28,27.37,1.90%
2024-05-24,26.86,0.56%
2024-05-23,26.71,-1.15%
2024-05-22,27.02,-1.82%
2024-05-21,27.52,-0.76%
2024-05-20,27.73,0.91%
2024-05-17,27.48,1.03%
2024-05-16,27.2,-0.84%
2024-05-15,27.43,0.18%
2024-05-14,27.38,0.85%
2024-05-13,27.15,-0.04%
2024-05-10,27.16,-1.56%
2024-05-09,27.59,0.69%
2024-05-08,27.4,-0.54%
2024-05-07,27.55,0.33%
2024-05-06,27.46,1.63%
2024-05-03,27.02,0.93%
2024-05-02,26.77,0.71%
2024-05-01,26.58,-2.06%
2024-04-30,27.14,-3.69%
2024-04-29,28.18,0.39%
2024-04-26,28.07,0.29%
2024-04-25,27.99,0.68%
2024-04-24,27.8,0.76%
2024-04-23,27.59,0.40%
2024-04-22,27.48,0.73%
2024-04-19,27.28,1.11%
2024-04-18,26.98,-0.26%
2024-04-17,27.05,-0.73%
2024-04-16,27.25,-0.80%
2024-04-15,27.47,-1.40%
2024-04-12,27.86,-1.17%
2024-04-11,28.19,-0.53%
2024-04-10,28.34,0.39%
2024-04-09,28.23,0.36%
2024-04-08,28.13,-0.25%
2024-04-05,28.2,0.79%
2024-04-04,27.98,-0.21%
2024-04-03,28.04,1.05%
2024-04-02,27.75,0.54%
2024-04-01,27.6,0.58%
2024-03-28,27.44,1.44%
2024-03-27,27.05,1.62%
2024-03-26,26.62,-0.89%
2024-03-25,26.86,1.24%
2024-03-22,26.53,-0.75%
2024-03-21,26.73,0.30%
2024-03-20,26.65,0.53%
2024-03-19,26.51,1.42%
2024-03-18,26.14,0.23%
2024-03-15,26.08,0.15%
2024-03-14,26.04,0.27%
2024-03-13,25.97,1.41%
2024-03-12,25.61,-0.04%
2024-03-11,25.62,0.63%
2024-03-08,25.46,0.24%
2024-03-07,25.4,0.16%
2024-03-06,25.36,0.28%
2024-03-05,25.29,0.56%
2024-03-04,25.15,-0.83%
2024-03-01,25.36,1.36%
2024-02-29,25.02,0.77%
2024-02-28,24.83,0.08%
2024-02-27,24.81,0.65%
2024-02-26,24.65,0.24%
2024-02-23,24.59,-1.01%
2024-02-22,24.84,0.44%
2024-02-21,24.73,3.21%
2024-02-20,23.96,-0.87%
2024-02-16,24.17,0.58%
2024-02-15,24.03,4.12%
2024-02-14,23.08,0.13%
2024-02-13,23.05,-1.75%
2024-02-12,23.46,2.27%
2024-02-09,22.94,-1.12%
2024-02-08,23.2,1.18%
2024-02-07,22.93,0.31%
2024-02-06,22.86,1.06%
2024-02-05,22.62,-1.14%
2024-02-02,22.88,-1.17%
2024-02-01,23.15,-0.81%
2024-01-31,23.34,-2.67%
2024-01-30,23.98,1.44%
2024-01-29,23.64,-0.08%
2024-01-26,23.66,0.25%
2024-01-25,23.6,1.64%
2024-01-24,23.22,1.26%
2024-01-23,22.93,0.17%
2024-01-22,22.89,0.57%
2024-01-19,22.76,-0.04%
2024-01-18,22.77,-0.13%
2024-01-17,22.8,-1.08%
2024-01-16,23.05,-3.07%
2024-01-12,23.78,1.41%
2024-01-11,23.45,-0.21%
2024-01-10,23.5,-1.01%
2024-01-09,23.74,-1.25%
2024-01-08,24.04,-0.91%
2024-01-05,24.26,0.66%
2024-01-04,24.1,-2.27%
2024-01-03,24.66,0.98%
2024-01-02,24.42,0.54%
2023-12-29,24.29,-0.78%
