FECHA,Price,Change %
2024-12-31,369.0,0.00%
2024-12-30,369.0,0.00%
2024-12-27,369.0,0.82%
2024-12-26,366.0,0.00%
2024-12-24,366.0,0.00%
2024-12-23,366.0,0.97%
2024-12-20,362.5,3.92%
2024-12-19,348.83,0.38%
2024-12-18,347.5,0.00%
2024-12-17,347.5,0.00%
2024-12-16,347.5,0.00%
2024-12-13,347.5,-0.29%
2024-12-12,348.5,0.00%
2024-12-11,348.5,0.29%
2024-12-10,347.5,0.00%
2024-12-09,347.5,0.72%
2024-12-06,345.0,0.00%
2024-12-05,345.0,0.44%
2024-12-04,343.5,0.29%
2024-12-03,342.5,0.00%
2024-12-02,342.5,-0.29%
2024-11-29,343.5,-2.00%
2024-11-27,350.5,-0.71%
2024-11-26,353.0,0.00%
2024-11-25,353.0,0.00%
2024-11-22,353.0,0.00%
2024-11-21,353.0,0.00%
2024-11-20,353.0,0.00%
2024-11-19,353.0,0.00%
2024-11-18,353.0,0.00%
2024-11-15,353.0,0.14%
2024-11-14,352.5,0.00%
2024-11-13,352.5,0.00%
2024-11-12,352.5,-0.70%
2024-11-11,355.0,0.00%
2024-11-08,355.0,0.00%
2024-11-07,355.0,0.00%
2024-11-06,355.0,-0.70%
2024-11-05,357.5,-0.69%
2024-11-04,360.0,-2.04%
2024-11-01,367.5,-0.35%
2024-10-31,368.8,0.35%
2024-10-30,367.5,0.00%
2024-10-29,367.5,0.00%
2024-10-28,367.5,0.00%
2024-10-25,367.5,-1.34%
2024-10-24,372.5,0.00%
2024-10-23,372.5,0.00%
2024-10-22,372.5,0.00%
2024-10-21,372.5,0.00%
2024-10-18,372.5,0.00%
2024-10-17,372.5,0.00%
2024-10-16,372.5,0.68%
2024-10-15,370.0,0.68%
2024-10-14,367.5,0.00%
2024-10-11,367.5,-0.68%
2024-10-10,370.0,0.00%
2024-10-09,370.0,-1.33%
2024-10-08,375.0,0.67%
2024-10-07,372.5,-0.67%
2024-10-04,375.0,1.35%
2024-10-03,370.0,0.68%
2024-10-02,367.5,2.51%
2024-10-01,358.5,1.27%
2024-09-30,354.0,-0.56%
2024-09-27,356.0,4.82%
2024-09-26,339.63,0.78%
2024-09-25,337.0,0.00%
2024-09-24,337.0,0.00%
2024-09-23,337.0,0.45%
2024-09-20,335.5,0.00%
2024-09-19,335.5,0.90%
2024-09-18,332.5,0.61%
2024-09-17,330.5,0.15%
2024-09-16,330.0,0.00%
2024-09-13,330.0,-1.49%
2024-09-12,335.0,0.00%
2024-09-11,335.0,-0.45%
2024-09-10,336.5,0.00%
2024-09-09,336.5,0.00%
2024-09-06,336.5,0.00%
2024-09-05,336.5,-0.59%
2024-09-04,338.5,1.80%
2024-09-03,332.5,0.61%
2024-08-30,330.5,-1.64%
2024-08-29,336.0,-0.59%
2024-08-28,338.0,1.05%
2024-08-27,334.5,0.00%
2024-08-26,334.5,-1.04%
2024-08-23,338.0,1.20%
2024-08-22,334.0,-0.30%
2024-08-21,335.0,-0.74%
2024-08-20,337.5,0.00%
2024-08-19,337.5,0.00%
2024-08-16,337.5,-1.75%
2024-08-15,343.5,0.00%
2024-08-14,343.5,0.00%
2024-08-13,343.5,0.00%
2024-08-12,343.5,0.00%
2024-08-09,343.5,-0.29%
2024-08-08,344.5,0.58%
2024-08-07,342.5,1.03%
2024-08-06,339.0,-0.44%
2024-08-05,340.5,0.00%
2024-08-02,340.5,0.00%
2024-08-01,340.5,-0.58%
2024-07-31,342.5,0.15%
2024-07-30,342.0,-0.15%
2024-07-29,342.5,0.00%
2024-07-26,342.5,-0.76%
2024-07-25,345.13,0.04%
2024-07-24,345.0,0.00%
2024-07-23,345.0,0.00%
2024-07-22,345.0,0.00%
2024-07-19,345.0,0.00%
2024-07-18,345.0,-0.29%
2024-07-17,346.0,-0.43%
2024-07-16,347.5,0.00%
2024-07-15,347.5,0.00%
2024-07-12,347.5,0.72%
2024-07-11,345.0,0.00%
2024-07-10,345.0,0.73%
2024-07-09,342.5,0.00%
2024-07-08,342.5,0.22%
2024-07-05,341.75,0.51%
2024-07-03,340.0,0.00%
2024-07-02,340.0,0.00%
2024-07-01,340.0,-1.45%
2024-06-28,345.0,1.47%
2024-06-27,340.0,0.74%
2024-06-26,337.5,0.00%
2024-06-25,337.5,0.00%
2024-06-24,337.5,0.00%
2024-06-21,337.5,0.45%
2024-06-20,336.0,-0.15%
2024-06-18,336.5,-0.30%
2024-06-17,337.5,0.30%
2024-06-14,336.5,-1.46%
2024-06-13,341.5,0.89%
2024-06-12,338.5,0.30%
2024-06-11,337.5,1.50%
2024-06-10,332.5,0.76%
2024-06-07,330.0,0.00%
2024-06-06,330.0,0.15%
2024-06-05,329.5,1.38%
2024-06-04,325.0,3.83%
2024-06-03,313.0,-0.32%
2024-05-31,314.0,0.00%
2024-05-30,314.0,1.29%
2024-05-29,310.0,0.81%
2024-05-28,307.5,-3.15%
2024-05-24,317.5,-0.78%
2024-05-23,320.0,0.79%
2024-05-22,317.5,1.28%
2024-05-21,313.5,0.64%
2024-05-20,311.5,2.47%
2024-05-17,304.0,-0.82%
2024-05-16,306.5,-0.16%
2024-05-15,307.0,6.60%
2024-05-14,288.0,0.17%
2024-05-13,287.5,0.00%
2024-05-10,287.5,0.00%
2024-05-09,287.5,1.77%
2024-05-08,282.5,2.73%
2024-05-07,275.0,-2.14%
2024-05-06,281.0,-1.23%
2024-05-03,284.5,0.71%
2024-05-02,282.5,-0.88%
2024-05-01,285.0,-0.18%
2024-04-30,285.5,-1.21%
2024-04-29,289.0,-2.03%
2024-04-26,295.0,-2.56%
2024-04-25,302.75,-2.34%
2024-04-24,310.0,0.00%
2024-04-23,310.0,0.00%
2024-04-22,310.0,0.00%
2024-04-19,310.0,-0.64%
2024-04-18,312.0,0.00%
2024-04-17,312.0,0.00%
2024-04-16,312.0,3.14%
2024-04-15,302.5,-3.97%
2024-04-12,315.0,-1.56%
2024-04-11,320.0,0.00%
2024-04-10,320.0,0.00%
2024-04-09,320.0,0.00%
2024-04-08,320.0,-1.23%
2024-04-05,324.0,-0.31%
2024-04-04,325.0,0.00%
2024-04-03,325.0,0.31%
2024-04-02,324.0,-0.31%
2024-04-01,325.0,-7.97%
2024-03-28,353.13,-2.45%
2024-03-27,362.0,0.00%
2024-03-26,362.0,0.00%
2024-03-25,362.0,-0.82%
2024-03-22,365.0,0.00%
2024-03-21,365.0,0.00%
2024-03-20,365.0,0.00%
2024-03-19,365.0,0.00%
2024-03-18,365.0,0.00%
2024-03-15,365.0,0.00%
2024-03-14,365.0,0.00%
2024-03-13,365.0,0.00%
2024-03-12,365.0,0.00%
2024-03-11,365.0,-0.41%
2024-03-08,366.5,0.00%
2024-03-07,366.5,0.00%
2024-03-06,366.5,-0.95%
2024-03-05,370.0,-0.67%
2024-03-04,372.5,-0.67%
2024-03-01,375.0,-1.57%
2024-02-29,381.0,0.26%
2024-02-28,380.0,0.00%
2024-02-27,380.0,0.00%
2024-02-26,380.0,0.00%
2024-02-23,380.0,0.26%
2024-02-22,379.0,0.00%
2024-02-21,379.0,0.00%
2024-02-20,379.0,0.00%
2024-02-16,379.0,-0.26%
2024-02-15,380.0,0.00%
2024-02-14,380.0,-0.26%
2024-02-13,381.0,-1.04%
2024-02-12,385.0,1.32%
2024-02-09,380.0,0.40%
2024-02-08,378.5,0.00%
2024-02-07,378.5,0.00%
2024-02-06,378.5,0.00%
2024-02-05,378.5,0.26%
2024-02-02,377.5,-0.66%
2024-02-01,380.0,0.00%
2024-01-31,380.0,0.00%
2024-01-30,380.0,0.00%
2024-01-29,380.0,0.66%
2024-01-26,377.5,13.19%
2024-01-25,333.5,1.06%
2024-01-24,330.0,0.00%
2024-01-23,330.0,0.76%
2024-01-22,327.5,0.00%
2024-01-19,327.5,0.46%
2024-01-18,326.0,0.00%
2024-01-17,326.0,1.88%
2024-01-16,320.0,0.00%
2024-01-12,320.0,0.47%
2024-01-11,318.5,0.31%
2024-01-10,317.5,1.60%
2024-01-09,312.5,0.00%
2024-01-08,312.5,-0.79%
2024-01-05,315.0,-0.79%
2024-01-04,317.5,-0.78%
2024-01-03,320.0,0.00%
2024-01-02,320.0,0.00%
2023-12-29,320.0,0.00%
2023-12-28,320.0,0.00%
2023-12-27,320.0,1.59%
2023-12-26,315.0,0.00%
2023-12-22,315.0,-1.56%
2023-12-21,320.0,-0.31%
2023-12-20,321.0,0.00%
2023-12-19,321.0,-0.16%
2023-12-18,321.5,0.00%
2023-12-15,321.5,-1.08%
2023-12-14,325.0,0.00%
2023-12-13,325.0,-0.76%
2023-12-12,327.5,-0.76%
2023-12-11,330.0,0.00%
2023-12-08,330.0,0.00%
2023-12-07,330.0,-0.75%
2023-12-06,332.5,0.00%
2023-12-05,332.5,0.76%
2023-12-04,330.0,1.54%
2023-12-01,325.0,-8.68%
2023-11-30,355.9,-3.81%
2023-11-29,370.0,0.00%
2023-11-28,370.0,0.00%
2023-11-27,370.0,0.00%
2023-11-24,370.0,0.00%
2023-11-22,370.0,0.00%
2023-11-21,370.0,0.00%
2023-11-20,370.0,-0.67%
2023-11-17,372.5,1.36%
2023-11-16,367.5,-0.68%
2023-11-15,370.0,0.00%
2023-11-14,370.0,0.00%
2023-11-13,370.0,0.00%
2023-11-10,370.0,-1.33%
2023-11-09,375.0,0.27%
2023-11-08,374.0,-0.27%
2023-11-07,375.0,0.00%
2023-11-06,375.0,0.00%
2023-11-03,375.0,-1.32%
2023-11-02,380.0,-0.65%
2023-11-01,382.5,-0.65%
2023-10-31,385.0,0.00%
2023-10-30,385.0,1.32%
2023-10-27,380.0,-5.82%
2023-10-26,403.5,-1.34%
2023-10-25,409.0,0.00%
2023-10-24,409.0,0.00%
2023-10-23,409.0,0.00%
2023-10-20,409.0,-0.24%
2023-10-19,410.0,0.00%
2023-10-18,410.0,0.00%
2023-10-17,410.0,0.61%
2023-10-16,407.5,0.25%
2023-10-13,406.5,0.62%
2023-10-12,404.0,0.00%
2023-10-11,404.0,-0.25%
2023-10-10,405.0,-1.22%
2023-10-09,410.0,-0.12%
2023-10-06,410.5,-1.08%
2023-10-05,415.0,-1.19%
2023-10-04,420.0,0.60%
2023-10-03,417.5,0.00%
2023-10-02,417.5,-0.60%
2023-09-29,420.0,7.55%
2023-09-28,390.5,-0.76%
2023-09-27,393.5,0.00%
2023-09-26,393.5,0.00%
2023-09-25,393.5,0.00%
2023-09-22,393.5,-1.63%
2023-09-21,400.0,0.00%
2023-09-20,400.0,0.00%
2023-09-19,400.0,0.63%
2023-09-18,397.5,-0.63%
2023-09-15,400.0,0.00%
2023-09-14,400.0,0.00%
2023-09-13,400.0,-1.48%
2023-09-12,406.0,1.00%
2023-09-11,402.0,0.50%
2023-09-08,400.0,-6.43%
2023-09-07,427.5,-1.50%
2023-09-06,434.0,1.52%
2023-09-05,427.5,19.92%
2023-09-01,356.5,-8.64%
2023-08-31,390.2,-0.71%
2023-08-30,393.0,-0.63%
2023-08-29,395.5,1.41%
2023-08-28,390.0,-1.39%
2023-08-25,395.5,0.00%
2023-08-24,395.5,-0.63%
2023-08-23,398.0,0.00%
2023-08-22,398.0,0.00%
2023-08-21,398.0,0.00%
2023-08-18,398.0,-0.50%
2023-08-17,400.0,0.00%
2023-08-16,400.0,0.00%
2023-08-15,400.0,0.00%
2023-08-14,400.0,0.00%
2023-08-11,400.0,0.00%
2023-08-10,400.0,-0.62%
2023-08-09,402.5,0.00%
2023-08-08,402.5,0.00%
2023-08-07,402.5,0.00%
2023-08-04,402.5,0.00%
2023-08-03,402.5,0.00%
2023-08-02,402.5,-4.17%
2023-08-01,420.0,-0.24%
2023-07-31,421.0,-1.52%
2023-07-28,427.5,22.62%
2023-07-27,348.63,4.38%
2023-07-26,334.0,0.00%
2023-07-25,334.0,0.00%
2023-07-24,334.0,0.00%
2023-07-21,334.0,0.00%
2023-07-20,334.0,0.00%
2023-07-19,334.0,0.00%
2023-07-18,334.0,0.00%
2023-07-17,334.0,0.45%
2023-07-14,332.5,0.00%
2023-07-13,332.5,0.76%
2023-07-12,330.0,1.54%
2023-07-11,325.0,0.00%
2023-07-10,325.0,0.00%
2023-07-07,325.0,-1.52%
2023-07-06,330.0,3.94%
2023-07-05,317.5,0.47%
2023-07-03,316.0,-0.94%
2023-06-30,319.0,11.73%
2023-06-29,285.5,0.00%
2023-06-28,285.5,0.00%
2023-06-27,285.5,0.00%
2023-06-26,285.5,0.00%
2023-06-23,285.5,0.00%
2023-06-22,285.5,0.00%
2023-06-21,285.5,0.00%
2023-06-20,285.5,0.00%
2023-06-16,285.5,-0.52%
2023-06-15,287.0,0.53%
2023-06-14,285.5,-0.17%
2023-06-13,286.0,0.00%
2023-06-12,286.0,-0.87%
2023-06-09,288.5,-0.52%
2023-06-08,290.0,0.00%
2023-06-07,290.0,0.00%
2023-06-06,290.0,0.00%
2023-06-05,290.0,0.00%
2023-06-02,290.0,2.29%
2023-06-01,283.5,0.35%
2023-05-31,282.5,-3.42%
2023-05-30,292.5,0.86%
2023-05-26,290.0,-9.48%
2023-05-25,320.38,-0.19%
2023-05-24,321.0,0.00%
2023-05-23,321.0,0.00%
2023-05-22,321.0,0.00%
2023-05-19,321.0,-0.47%
2023-05-18,322.5,0.00%
2023-05-17,322.5,0.00%
2023-05-16,322.5,0.00%
2023-05-15,322.5,1.57%
2023-05-12,317.5,0.00%
2023-05-11,317.5,-3.05%
2023-05-10,327.5,-0.46%
2023-05-09,329.0,0.00%
2023-05-08,329.0,0.00%
2023-05-05,329.0,2.02%
2023-05-04,322.5,-2.27%
2023-05-03,330.0,-0.75%
2023-05-02,332.5,0.00%
2023-05-01,332.5,0.00%
2023-04-28,332.5,6.70%
2023-04-27,311.63,1.34%
2023-04-26,307.5,0.00%
2023-04-25,307.5,0.00%
2023-04-24,307.5,0.82%
2023-04-21,305.0,1.67%
2023-04-20,300.0,0.00%
2023-04-19,300.0,0.00%
2023-04-18,300.0,0.00%
2023-04-17,300.0,-1.64%
2023-04-14,305.0,0.00%
2023-04-13,305.0,0.83%
2023-04-12,302.5,0.00%
2023-04-11,302.5,0.83%
2023-04-10,300.0,0.84%
2023-04-07,297.5,0.00%
2023-04-06,297.5,0.85%
2023-04-05,295.0,0.00%
2023-04-04,295.0,1.03%
2023-04-03,292.0,-1.02%
2023-03-31,295.0,-5.60%
2023-03-10,312.5,0.00%
2023-03-09,312.5,-2.50%
2023-03-08,320.5,-0.47%
2023-03-07,322.0,-2.42%
2023-03-06,330.0,-0.75%
2023-03-03,332.5,0.00%
2023-03-02,332.5,0.00%
2023-03-01,332.5,0.45%
2023-02-28,331.0,-1.93%
2023-02-27,337.5,-1.46%
2023-02-24,342.5,-2.73%
2023-02-23,352.13,-1.64%
2023-02-22,358.0,0.00%
2023-02-21,358.0,0.00%
2023-02-17,358.0,0.14%
2023-02-16,357.5,0.00%
2023-02-15,357.5,0.00%
2023-02-14,357.5,0.00%
2023-02-13,357.5,0.00%
2023-02-10,357.5,-0.69%
2023-02-09,360.0,-1.37%
2023-02-08,365.0,-2.01%
2023-02-07,372.5,-2.61%
2023-02-06,382.5,-1.29%
2023-02-03,387.5,0.00%
2023-02-02,387.5,1.31%
2023-02-01,382.5,0.00%
2023-01-31,382.5,0.00%
2023-01-30,382.5,-1.29%
2023-01-27,387.5,-10.40%
2023-01-26,432.5,-1.93%
2023-01-25,441.0,0.00%
2023-01-24,441.0,0.00%
2023-01-23,441.0,0.00%
2023-01-20,441.0,-1.34%
2023-01-19,447.0,-0.89%
2023-01-18,451.0,0.89%
2023-01-17,447.0,-3.87%
2023-01-13,465.0,0.00%
2023-01-12,465.0,0.00%
2023-01-11,465.0,0.00%
2023-01-10,465.0,0.54%
2023-01-09,462.5,0.00%
2023-01-06,462.5,0.00%
2023-01-05,462.5,0.00%
2023-01-04,462.5,-1.07%
2023-01-03,467.5,-3.11%
2022-12-30,482.5,0.00%
2022-12-29,482.5,1.58%
2022-12-28,475.0,0.00%
2022-12-27,475.0,0.00%
2022-12-23,475.0,-3.55%
2022-12-22,492.5,-1.50%
2022-12-21,500.0,0.00%
2022-12-20,500.0,0.00%
2022-12-19,500.0,-0.50%
2022-12-16,502.5,0.00%
2022-12-15,502.5,-0.50%
2022-12-14,505.0,0.00%
2022-12-13,505.0,-0.98%
2022-12-12,510.0,0.00%
2022-12-09,510.0,0.00%
2022-12-08,510.0,0.00%
2022-12-07,510.0,-0.49%
2022-12-06,512.5,0.00%
2022-12-05,512.5,0.00%
2022-12-02,512.5,-0.49%
2022-12-01,515.0,0.00%
2022-11-30,515.0,1.98%
2022-11-29,505.0,-5.16%
2022-11-28,532.5,-2.74%
2022-11-25,547.5,-6.89%
2022-11-23,588.0,0.00%
2022-11-22,588.0,0.00%
2022-11-21,588.0,0.00%
2022-11-18,588.0,0.51%
2022-11-17,585.0,0.00%
2022-11-16,585.0,0.00%
2022-11-15,585.0,0.00%
2022-11-14,585.0,0.00%
2022-11-11,585.0,0.86%
2022-11-10,580.0,-3.33%
2022-11-09,600.0,-1.64%
2022-11-08,610.0,-0.81%
2022-11-07,615.0,-0.40%
2022-11-04,617.5,-2.76%
2022-11-03,635.0,6.72%
2022-11-02,595.0,6.25%
2022-11-01,560.0,-6.28%
2022-10-31,597.5,3.37%
2022-10-28,578.0,-8.49%
2022-10-27,631.63,0.66%
2022-10-26,627.5,0.00%
2022-10-25,627.5,0.00%
2022-10-24,627.5,-0.40%
2022-10-21,630.0,-0.16%
2022-10-20,631.0,-0.47%
2022-10-19,634.0,0.00%
2022-10-18,634.0,0.00%
2022-10-17,634.0,-0.63%
2022-10-14,638.0,2.49%
2022-10-13,622.5,-2.73%
2022-10-12,640.0,-0.78%
2022-10-11,645.0,0.00%
2022-10-10,645.0,0.00%
2022-10-07,645.0,0.78%
2022-10-06,640.0,-0.78%
2022-10-05,645.0,3.20%
2022-10-04,625.0,1.63%
2022-10-03,615.0,0.82%
2022-09-30,610.0,-10.10%
2022-09-29,678.5,-1.09%
2022-09-28,686.0,0.00%
2022-09-27,686.0,0.00%
2022-09-26,686.0,-0.22%
2022-09-23,687.5,-2.83%
2022-09-22,707.5,0.00%
2022-09-21,707.5,0.00%
2022-09-20,707.5,0.00%
2022-09-19,707.5,0.00%
2022-09-16,707.5,-0.70%
2022-09-15,712.5,1.42%
2022-09-14,702.5,0.72%
2022-09-13,697.5,0.72%
2022-09-12,692.5,0.00%
2022-09-09,692.5,-2.81%
2022-09-08,712.5,-0.35%
2022-09-07,715.0,0.70%
2022-09-06,710.0,-5.96%
2022-09-02,755.0,-1.95%
2022-09-01,770.0,0.00%
2022-08-31,770.0,0.00%
2022-08-30,770.0,-0.32%
2022-08-29,772.5,1.64%
2022-08-26,760.0,19.54%
2022-08-25,635.75,0.51%
2022-08-24,632.5,0.00%
2022-08-23,632.5,0.00%
2022-08-22,632.5,0.00%
2022-08-19,632.5,-1.56%
2022-08-18,642.5,0.00%
2022-08-17,642.5,0.00%
2022-08-16,642.5,0.00%
2022-08-15,642.5,0.00%
2022-08-12,642.5,0.00%
2022-08-11,642.5,-0.77%
2022-08-10,647.5,0.78%
2022-08-09,642.5,-0.77%
2022-08-08,647.5,-0.38%
2022-08-05,650.0,-1.89%
2022-08-04,662.5,-1.85%
2022-08-03,675.0,0.00%
2022-08-02,675.0,0.00%
2022-08-01,675.0,0.00%
2022-07-29,675.0,20.27%
2022-07-28,561.25,-0.31%
2022-07-27,563.0,0.00%
2022-07-26,563.0,0.00%
2022-07-25,563.0,0.00%
2022-07-22,563.0,-1.49%
2022-07-21,571.5,-0.61%
2022-07-20,575.0,0.00%
2022-07-19,575.0,0.00%
2022-07-18,575.0,0.00%
2022-07-15,575.0,0.00%
2022-07-14,575.0,-2.54%
2022-07-13,590.0,-0.84%
2022-07-12,595.0,-1.65%
2022-07-11,605.0,0.00%
2022-07-08,605.0,0.41%
2022-07-07,602.5,2.12%
2022-07-06,590.0,-0.42%
2022-07-05,592.5,-3.27%
2022-07-01,612.5,-0.41%
2022-06-30,615.0,-0.81%
2022-06-29,620.0,2.90%
2022-06-28,602.5,-2.03%
2022-06-27,615.0,-1.60%
2022-06-24,625.0,0.00%
2022-06-23,625.0,0.40%
2022-06-22,622.5,-11.13%
2022-05-26,700.5,0.00%
2022-05-25,700.5,0.00%
2022-05-24,700.5,0.00%
2022-05-23,700.5,0.00%
2022-05-20,700.5,-0.78%
2022-05-19,706.0,0.00%
2022-05-18,706.0,0.14%
2022-05-17,705.0,0.00%
2022-05-16,705.0,0.00%
2022-05-13,705.0,0.00%
2022-05-12,705.0,-0.70%
2022-05-11,710.0,-0.35%
2022-05-10,712.5,-0.35%
2022-05-09,715.0,-0.69%
2022-05-06,720.0,0.00%
2022-05-05,720.0,-1.03%
2022-05-04,727.5,0.00%
2022-05-03,727.5,-1.02%
2022-05-02,735.0,0.00%
2022-04-29,735.0,-15.76%
2022-04-28,872.5,-3.32%
2022-04-27,902.5,0.00%
2022-04-26,902.5,-0.55%
2022-04-25,907.5,0.00%
2022-04-22,907.5,-1.09%
2022-04-21,917.5,0.00%
2022-04-20,917.5,0.00%
2022-04-19,917.5,0.82%
2022-04-18,910.0,1.11%
2022-04-14,900.0,0.56%
2022-04-13,895.0,-2.72%
2022-04-12,920.0,2.22%
2022-04-11,900.0,-0.55%
2022-04-08,905.0,6.47%
2022-04-07,850.0,4.94%
2022-04-06,810.0,-5.26%
2022-04-05,855.0,-3.66%
2022-04-04,887.5,0.51%
2022-04-01,883.0,-2.00%
2022-03-31,901.0,2.97%
2022-03-30,875.0,0.00%
2022-03-29,875.0,0.00%
2022-03-28,875.0,-1.46%
2022-03-25,888.0,1.49%
2022-03-24,875.0,0.00%
2022-03-23,875.0,0.00%
2022-03-22,875.0,0.00%
2022-03-21,875.0,0.00%
2022-03-18,875.0,-0.85%
2022-03-17,882.5,1.15%
2022-03-16,872.5,0.00%
2022-03-15,872.5,0.00%
2022-03-14,872.5,0.00%
2022-03-11,872.5,0.00%
2022-03-10,872.5,0.00%
2022-03-09,872.5,0.00%
2022-03-08,872.5,1.45%
2022-03-07,860.0,2.69%
2022-03-04,837.5,5.35%
2022-03-03,795.0,3.25%
2022-03-02,770.0,1.99%
2022-03-01,755.0,-2.58%
2022-02-28,775.0,7.27%
2022-02-25,722.5,20.29%
2022-02-24,600.63,-1.05%
2022-02-23,607.0,0.00%
2022-02-22,607.0,0.00%
2022-02-18,607.0,-2.25%
2022-02-17,621.0,0.00%
