País,FOB Total,KGS NETO Total
RUSSIAN FEDERATION,611165422.48,2005964278.2123394
VENEZUELA,131047537.55,362648442.4107692
CHINA,119365327.85,444760952.735593
UKRAINE,39659438.06,110785531.33333333
INDONESIA,24447787.71,71436452.44063725
PERU,24266164.36,70148281.54324134
UNITED STATES,21561878.25,59538181.20806713
BELARUS,19641725.72,82420499.47657466
MALAYSIA,19023231.15,57523137.72887521
LITHUANIA,8477337.35,45630207.652173914
FINLAND,6667014.5600000005,22303459.17777778
LATVIA,4529588.43,18665084.60638298
ESTONIA,4247441.34,13383960.0
TRINIDAD AND TOBAGO,3629593.69,15541206.6
EGYPT,3551377.93,15482140.556363637
NIGERIA,2503542.27,8967469.8
BELGIUM,1387136.95,5529000.0
UNITED ARAB EMIRATES,524774.62,1000000.0
INDIA,307549.6,313847.91
NEW ZEALAND,285159.41,945000.0
ALGERIA,229041.0,900000.0
SWITZERLAND,120305.6,493000.0
GERMANY,103295.61,360928.39
PAISES BAJOS,31772.02,73792.0
FRANCE,20264.16,99177.4
POLAND,9930.0,30000.0
COLOMBIA,7929.35,77305.1
SPAIN,155.88,25462.29
